ID,Beach,Patrol,Longitude,Latitude,Vistors,Rescues,Minor,Major,CPR,Casualties
1,Ahipara,Patrolled by Far North SLSC.,173.134747,-35.176439,50,2,1,0,0,0
2,Baylys,Patrolled by Regional Guards.,173.743372,-35.953805,30,1,0,0,0,0
3,Bethells,Patrolled by Bethells Beach SLSC.,174.444265,-36.894655,250,6,0,0,0,0
4,Brighton,Patrolled by Brighton SLSC.,170.329038,-45.950463,580,12,5,0,0,0
5,Browns Bay,Patrolled by Regional Guards.,174.750381,-36.712794,1330,17,13,1,0,0
6,Castlecliff,Patrolled by Wanganui SLS.,174.975611,-39.939702,410,12,2,8,3,0
7,East end,Patrolled by East End SLSC.,174.092467,-39.048444,890,8,2,6,3,0
8,Fitzroy,Patrolled by Fitzroy SLSC.,174.097166,-39.045694,450,14,5,2,0,0
9,Foxton,Patrolled by Foxton SLSC.,175.215454,-40.458197,80,4,0,2,2,2
10,Himatangi,Patrolled by Palmerston North SLSC.,175.22835,-40.370147,50,2,1,0,0,0
11,Hot Water,Patrolled by Hot Water Beach SLSC.,175.823328,-36.887876,40,2,0,0,0,0
12,Kaka Point,Patrolled by Kaka Point SLSC.,169.78308,-46.385529,20,1,0,0,0,0
13,Karekare,Patrolled by KareKare SLSC.,174.473233,-36.989528,70,2,0,0,0,0
14,Kariaotahi,Patrolled by Kariaotahi SLSC.,174.654036,-37.283478,230,8,0,0,0,0
15,Karoro,Patrolled by Kotuku SLSC.,171.183482,-42.472572,270,7,4,3,1,0
16,Long Bay,Patrolled by Regional Guards.,174.752569,-36.688863,1870,10,0,0,0,0
17,Lyall Bay,Patrolled by Lyall Bay SLSC.,174.794852,-41.330009,1090,12,4,2,2,0
18,Main Mt. Maunganui,Patrolled by Mt. Maunganui SLSC.,176.183367,-37.632926,1150,14,6,3,2,0
19,Mairangi Bay,Patrolled by Mairangi Bay SLSC.,174.756775,-36.739262,1730,11,10,1,1,0
20,Maketu,Patrolled by Maketu SLSC.,176.456201,-37.75465,60,5,0,0,0,0
21,Mangawhai Heads,Patrolled by Mangawhai Heads SLSC.,174.59861,-36.081517,80,4,1,3,0,0
22,Marine Parade Napier,Patrolled by Pacific SLSC.,176.920674,-39.487052,1150,10,7,1,1,0
23,Midway,Patrolled by Midway SLSC.,178.005182,-38.670815,530,21,3,8,4,0
24,Milford,Patrolled by Regional Guards.,174.767525,-36.765567,1970,13,4,6,2,0
25,Mowhanau,Patrolled by Wanganui SLS.,174.901625,-39.886352,80,6,1,2,1,0
